S.No.,Base Form,Past Form,Past Participle Form,s / es/ ies
812,sleep,slept,slept,sleeps
813,slide,slid,slid/slide,slides
814,slim,slimmed,slimmed,slims
815,sling,slung,slung,slings
816,slink,slunk,slunk,slinks
817,slip,slipped,slipped,slips
818,slit,slit,slit,slits
819,smash,smashed,smashed,smashes
820,smell,smelt,smelt,smells
821,smile,smiled,smiled,smiles
822,smite,smote,smitten,smites
823,smooth,smoothed,smoothed,smoothes
824,smother,smothered,smothered,smothers
825,snap,snapped,snapped,snaps
826,snatch,snatched,snatched,snatches
827,sneak,snuck,snuck,sneaks
828,sneeze,sneezed,sneezed,sneezes
829,sniff,sniffed,sniffed,sniffs
830,soar,soared,soared,soars
831,sob,sobbed,sobbed,sobs
832,solicit,solicited,solicited,solicits
833,solve,solved,solved,solves
834,soothe,soothed,soothed,soothes
835,sort,sorted,sorted,sorts
836,sow,sowed,sowed,sows
837,sparkle,sparkled,sparkled,sparkles
838,speak,spoke,spoken,speaks
839,speed,sped,sped,speeds
840,spell,spelt,spelt,spells
841,spend,spent,spent,spends
842,spill,spilt,spilt,spills
843,spin,span/spun,spun,spins
844,spit,spat/spit,spat/spit,spits
845,split,split,split,splits
846,spoil,spoilt,spoilt,spoils
847,spray,sprayed,sprayed,sprays
848,spread,spread,spread,spreads
849,spring,sprang,sprung,springs
850,sprout,sprouted,sprouted,sprouts
851,squeeze,squeezed,squeezed,squeezes
852,stand,stood,stood,stands
853,stare,stared,stared,stares
854,start,started,started,starts
855,state,stated,stated,states
856, , , , 
